"","X","column2","list","date","Year","page","URL","new_name","new_path","volume","issue"
"53",53,NA,"sim_newsweek-us_1948-12-06_32_23",1948-12-06,1948,NA,"https://archive.org/details/sim_newsweek-us_1948-12-06_32_23/","sim_newsweek-us_1948-12-06_32_23.txt","./AI_extracted_all/sim_newsweek-us_1948-12-06_32_23.txt",32,"23"
"54",NA,NA,"sim_newsweek-us_1947-04-14_29_15",1947-04-14,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-04-14_29_15/","sim_newsweek-us_1947-04-14_29_15.txt","./AI_extracted_all/sim_newsweek-us_1947-04-14_29_15.txt",29,"15"
"55",NA,NA,"sim_newsweek-us_1947-05-19_29_20",1947-05-19,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-05-19_29_20/","sim_newsweek-us_1947-05-19_29_20.txt","./AI_extracted_all/sim_newsweek-us_1947-05-19_29_20.txt",29,"20"
"56",NA,NA,"sim_newsweek-us_1947-06-09_29_23",1947-06-09,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-06-09_29_23/","sim_newsweek-us_1947-06-09_29_23.txt","./AI_extracted_all/sim_newsweek-us_1947-06-09_29_23.txt",29,"23"
"57",NA,NA,"sim_newsweek-us_1947-07-14_30_2",1947-07-14,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-07-14_30_2/","sim_newsweek-us_1947-07-14_30_2.txt","./AI_extracted_all/sim_newsweek-us_1947-07-14_30_2.txt",30,"2"
"58",NA,NA,"sim_newsweek-us_1947-08-25_30_8",1947-08-25,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-08-25_30_8/","sim_newsweek-us_1947-08-25_30_8.txt","./AI_extracted_all/sim_newsweek-us_1947-08-25_30_8.txt",30,"8"
"59",NA,NA,"sim_newsweek-us_1947-09-22_30_12",1947-09-22,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-09-22_30_12/","sim_newsweek-us_1947-09-22_30_12.txt","./AI_extracted_all/sim_newsweek-us_1947-09-22_30_12.txt",30,"12"
"60",NA,NA,"sim_newsweek-us_1947-10-27_30_17",1947-10-27,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-10-27_30_17/","sim_newsweek-us_1947-10-27_30_17.txt","./AI_extracted_all/sim_newsweek-us_1947-10-27_30_17.txt",30,"17"
"61",NA,NA,"sim_newsweek-us_1947-11-17_30_20",1947-11-17,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-11-17_30_20/","sim_newsweek-us_1947-11-17_30_20.txt","./AI_extracted_all/sim_newsweek-us_1947-11-17_30_20.txt",30,"20"
"62",NA,NA,"sim_newsweek-us_1947-12-15_30_24",1947-12-15,1947,NA,"https://archive.org/details/sim_newsweek-us_1947-12-15_30_24/","sim_newsweek-us_1947-12-15_30_24.txt","./AI_extracted_all/sim_newsweek-us_1947-12-15_30_24.txt",30,"24"
"63",NA,NA,"sim_newsweek-us_1949-01-24_33_4",1949-01-24,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-01-24_33_4/","sim_newsweek-us_1949-01-24_33_4.txt","./AI_extracted_all/sim_newsweek-us_1949-01-24_33_4.txt",33,"4"
"64",NA,NA,"sim_newsweek-us_1949-02-14_33_7",1949-02-14,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-02-14_33_7/","sim_newsweek-us_1949-02-14_33_7.txt","./AI_extracted_all/sim_newsweek-us_1949-02-14_33_7.txt",33,"7"
"65",NA,NA,"sim_newsweek-us_1949-03-14_33_11",1949-03-14,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-03-14_33_11/","sim_newsweek-us_1949-03-14_33_11.txt","./AI_extracted_all/sim_newsweek-us_1949-03-14_33_11.txt",33,"11"
"66",NA,NA,"sim_newsweek-us_1949-05-09_33_19",1949-05-09,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-05-09_33_19/","sim_newsweek-us_1949-05-09_33_19.txt","./AI_extracted_all/sim_newsweek-us_1949-05-09_33_19.txt",33,"19"
"67",NA,NA,"sim_newsweek-us_1949-06-27_33_26",1949-06-27,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-06-27_33_26/","sim_newsweek-us_1949-06-27_33_26.txt","./AI_extracted_all/sim_newsweek-us_1949-06-27_33_26.txt",33,"26"
"68",NA,NA,"sim_newsweek-us_1949-07-18_34_3",1949-07-18,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-07-18_34_3/","sim_newsweek-us_1949-07-18_34_3.txt","./AI_extracted_all/sim_newsweek-us_1949-07-18_34_3.txt",34,"3"
"69",NA,NA,"sim_newsweek-us_1949-09-19_34_12",1949-09-19,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-09-19_34_12/","sim_newsweek-us_1949-09-19_34_12.txt","./AI_extracted_all/sim_newsweek-us_1949-09-19_34_12.txt",34,"12"
"70",NA,NA,"sim_newsweek-us_1949-10-24_34_17",1949-10-24,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-10-24_34_17/","sim_newsweek-us_1949-10-24_34_17.txt","./AI_extracted_all/sim_newsweek-us_1949-10-24_34_17.txt",34,"17"
"71",NA,NA,"sim_newsweek-us_1949-11-21_34_21",1949-11-21,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-11-21_34_21/","sim_newsweek-us_1949-11-21_34_21.txt","./AI_extracted_all/sim_newsweek-us_1949-11-21_34_21.txt",34,"21"
"72",NA,NA,"sim_newsweek-us_1949-12-12_34_24",1949-12-12,1949,NA,"https://archive.org/details/sim_newsweek-us_1949-12-12_34_24/","sim_newsweek-us_1949-12-12_34_24.txt","./AI_extracted_all/sim_newsweek-us_1949-12-12_34_24.txt",34,"24"
"73",NA,NA,"sim_newsweek-us_1950-01-02_35_1",1950-01-02,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-01-02_35_1/","sim_newsweek-us_1950-01-02_35_1.txt","./AI_extracted_all/sim_newsweek-us_1950-01-02_35_1.txt",35,"1"
"74",NA,NA,"sim_newsweek-us_1950-02-06_35_6",1950-02-06,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-02-06_35_6/","sim_newsweek-us_1950-02-06_35_6.txt","./AI_extracted_all/sim_newsweek-us_1950-02-06_35_6.txt",35,"6"
"75",NA,NA,"sim_newsweek-us_1950-04-17_35_16",1950-04-17,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-04-17_35_16/","sim_newsweek-us_1950-04-17_35_16.txt","./AI_extracted_all/sim_newsweek-us_1950-04-17_35_16.txt",35,"16"
"76",NA,NA,"sim_newsweek-us_1950-05-01_35_18",1950-05-01,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-05-01_35_18/","sim_newsweek-us_1950-05-01_35_18.txt","./AI_extracted_all/sim_newsweek-us_1950-05-01_35_18.txt",35,"18"
"77",NA,NA,"sim_newsweek-us_1950-07-31_36_5",1950-07-31,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-07-31_36_5/","sim_newsweek-us_1950-07-31_36_5.txt","./AI_extracted_all/sim_newsweek-us_1950-07-31_36_5.txt",36,"5"
"78",NA,NA,"sim_newsweek-us_1950-09-25_36_13",1950-09-25,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-09-25_36_13/","sim_newsweek-us_1950-09-25_36_13.txt","./AI_extracted_all/sim_newsweek-us_1950-09-25_36_13.txt",36,"13"
"79",NA,NA,"sim_newsweek-us_1950-10-23_36_17",1950-10-23,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-10-23_36_17/","sim_newsweek-us_1950-10-23_36_17.txt","./AI_extracted_all/sim_newsweek-us_1950-10-23_36_17.txt",36,"17"
"80",NA,NA,"sim_newsweek-us_1950-11-27_36_22",1950-11-27,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-11-27_36_22/","sim_newsweek-us_1950-11-27_36_22.txt","./AI_extracted_all/sim_newsweek-us_1950-11-27_36_22.txt",36,"22"
"81",NA,NA,"sim_newsweek-us_1950-12-11_36_24",1950-12-11,1950,NA,"https://archive.org/details/sim_newsweek-us_1950-12-11_36_24/","sim_newsweek-us_1950-12-11_36_24.txt","./AI_extracted_all/sim_newsweek-us_1950-12-11_36_24.txt",36,"24"
"82",NA,NA,"sim_newsweek-us_1953-07-13_42_2",1953-07-13,1953,NA,"https://archive.org/details/sim_newsweek-us_1953-07-13_42_2/","sim_newsweek-us_1953-07-13_42_2.txt","./AI_extracted_all/sim_newsweek-us_1953-07-13_42_2.txt",42,"2"
"83",NA,NA,"sim_newsweek-us_1953-10-12_42_15",1953-10-12,1953,NA,"https://archive.org/details/sim_newsweek-us_1953-10-12_42_15/","sim_newsweek-us_1953-10-12_42_15.txt","./AI_extracted_all/sim_newsweek-us_1953-10-12_42_15.txt",42,"15"
"84",NA,NA,"sim_newsweek-us_1954-01-25_43_4",1954-01-25,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-01-25_43_4/","sim_newsweek-us_1954-01-25_43_4.txt","./AI_extracted_all/sim_newsweek-us_1954-01-25_43_4.txt",43,"4"
"85",NA,NA,"sim_newsweek-us_1954-02-01_43_5",1954-02-01,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-02-01_43_5/","sim_newsweek-us_1954-02-01_43_5.txt","./AI_extracted_all/sim_newsweek-us_1954-02-01_43_5.txt",43,"5"
"86",NA,NA,"sim_newsweek-us_1954-03-29_43_13",1954-03-29,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-03-29_43_13/","sim_newsweek-us_1954-03-29_43_13.txt","./AI_extracted_all/sim_newsweek-us_1954-03-29_43_13.txt",43,"13"
"87",NA,NA,"sim_newsweek-us_1954-04-19_43_16",1954-04-19,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-04-19_43_16/","sim_newsweek-us_1954-04-19_43_16.txt","./AI_extracted_all/sim_newsweek-us_1954-04-19_43_16.txt",43,"16"
"88",NA,NA,"sim_newsweek-us_1954-05-17_43_20",1954-05-17,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-05-17_43_20/","sim_newsweek-us_1954-05-17_43_20.txt","./AI_extracted_all/sim_newsweek-us_1954-05-17_43_20.txt",43,"20"
"89",NA,NA,"sim_newsweek-us_1954-06-14_43_24",1954-06-14,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-06-14_43_24/","sim_newsweek-us_1954-06-14_43_24.txt","./AI_extracted_all/sim_newsweek-us_1954-06-14_43_24.txt",43,"24"
"90",NA,NA,"sim_newsweek-us_1954-07-05_44_1",1954-07-05,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-07-05_44_1/","sim_newsweek-us_1954-07-05_44_1.txt","./AI_extracted_all/sim_newsweek-us_1954-07-05_44_1.txt",44,"1"
"91",NA,NA,"sim_newsweek-us_1954-08-09_44_6",1954-08-09,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-08-09_44_6/","sim_newsweek-us_1954-08-09_44_6.txt","./AI_extracted_all/sim_newsweek-us_1954-08-09_44_6.txt",44,"6"
"92",NA,NA,"sim_newsweek-us_1954-09-13_44_11",1954-09-13,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-09-13_44_11/","sim_newsweek-us_1954-09-13_44_11.txt","./AI_extracted_all/sim_newsweek-us_1954-09-13_44_11.txt",44,"11"
"93",NA,NA,"sim_newsweek-us_1954-11-08_44_19",1954-11-08,1954,NA,"https://archive.org/details/sim_newsweek-us_1954-11-08_44_19/","sim_newsweek-us_1954-11-08_44_19.txt","./AI_extracted_all/sim_newsweek-us_1954-11-08_44_19.txt",44,"19"
"94",NA,NA,"sim_newsweek-us_1955-06-13_45_24",1955-06-13,1955,NA,"https://archive.org/details/sim_newsweek-us_1955-06-13_45_24/","sim_newsweek-us_1955-06-13_45_24.txt","./AI_extracted_all/sim_newsweek-us_1955-06-13_45_24.txt",45,"24"
"95",NA,NA,"sim_newsweek-us_1955-08-08_46_6",1955-08-08,1955,NA,"https://archive.org/details/sim_newsweek-us_1955-08-08_46_6/","sim_newsweek-us_1955-08-08_46_6.txt","./AI_extracted_all/sim_newsweek-us_1955-08-08_46_6.txt",46,"6"
"96",NA,NA,"sim_newsweek-us_1955-09-19_46_12",1955-09-19,1955,NA,"https://archive.org/details/sim_newsweek-us_1955-09-19_46_12/","sim_newsweek-us_1955-09-19_46_12.txt","./AI_extracted_all/sim_newsweek-us_1955-09-19_46_12.txt",46,"12"
"97",NA,NA,"sim_newsweek-us_1956-12-10_48_24",1956-12-10,1956,NA,"https://archive.org/details/sim_newsweek-us_1956-12-10_48_24/","sim_newsweek-us_1956-12-10_48_24.txt","./AI_extracted_all/sim_newsweek-us_1956-12-10_48_24.txt",48,"24"
"98",NA,NA,"sim_newsweek-us_1957-02-25_49_8",1957-02-25,1957,NA,"https://archive.org/details/sim_newsweek-us_1957-02-25_49_8/","sim_newsweek-us_1957-02-25_49_8.txt","./AI_extracted_all/sim_newsweek-us_1957-02-25_49_8.txt",49,"8"
"99",NA,NA,"sim_newsweek-us_1958-01-27_51_4",1958-01-27,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-01-27_51_4/","sim_newsweek-us_1958-01-27_51_4.txt","./AI_extracted_all/sim_newsweek-us_1958-01-27_51_4.txt",51,"4"
"100",NA,NA,"sim_newsweek-us_1958-02-17_51_7",1958-02-17,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-02-17_51_7/","sim_newsweek-us_1958-02-17_51_7.txt","./AI_extracted_all/sim_newsweek-us_1958-02-17_51_7.txt",51,"7"
"101",NA,NA,"sim_newsweek-us_1958-03-24_51_12",1958-03-24,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-03-24_51_12/","sim_newsweek-us_1958-03-24_51_12.txt","./AI_extracted_all/sim_newsweek-us_1958-03-24_51_12.txt",51,"12"
"102",NA,NA,"sim_newsweek-us_1958-04-07_51_14",1958-04-07,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-04-07_51_14/","sim_newsweek-us_1958-04-07_51_14.txt","./AI_extracted_all/sim_newsweek-us_1958-04-07_51_14.txt",51,"14"
"103",NA,NA,"sim_newsweek-us_1958-05-12_51_19",1958-05-12,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-05-12_51_19/","sim_newsweek-us_1958-05-12_51_19.txt","./AI_extracted_all/sim_newsweek-us_1958-05-12_51_19.txt",51,"19"
"104",NA,NA,"sim_newsweek-us_1958-06-16_51_24",1958-06-16,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-06-16_51_24/","sim_newsweek-us_1958-06-16_51_24.txt","./AI_extracted_all/sim_newsweek-us_1958-06-16_51_24.txt",51,"24"
"105",NA,NA,"sim_newsweek-us_1958-07-21_52_3",1958-07-21,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-07-21_52_3/","sim_newsweek-us_1958-07-21_52_3.txt","./AI_extracted_all/sim_newsweek-us_1958-07-21_52_3.txt",52,"3"
"106",NA,NA,"sim_newsweek-us_1958-08-25_52_8",1958-08-25,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-08-25_52_8/","sim_newsweek-us_1958-08-25_52_8.txt","./AI_extracted_all/sim_newsweek-us_1958-08-25_52_8.txt",52,"8"
"107",NA,NA,"sim_newsweek-us_1958-09-22_52_12",1958-09-22,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-09-22_52_12/","sim_newsweek-us_1958-09-22_52_12.txt","./AI_extracted_all/sim_newsweek-us_1958-09-22_52_12.txt",52,"12"
"108",NA,NA,"sim_newsweek-us_1958-10-13_52_15",1958-10-13,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-10-13_52_15/","sim_newsweek-us_1958-10-13_52_15.txt","./AI_extracted_all/sim_newsweek-us_1958-10-13_52_15.txt",52,"15"
"109",NA,NA,"sim_newsweek-us_1958-11-17_52_20",1958-11-17,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-11-17_52_20/","sim_newsweek-us_1958-11-17_52_20.txt","./AI_extracted_all/sim_newsweek-us_1958-11-17_52_20.txt",52,"20"
"110",NA,NA,"sim_newsweek-us_1958-12-08_52_23",1958-12-08,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-12-08_52_23/","sim_newsweek-us_1958-12-08_52_23.txt","./AI_extracted_all/sim_newsweek-us_1958-12-08_52_23.txt",52,"23"
